,name,rating,reviews,ctype,hq,old,employee
140,Equitas Small Fi...,4.2,(2.5k Reviews),Private,"Chennai,Tamil Nadu + 306 more",16 years old,10k-50k Employees (India)
141,Ford Motor,4.5,(2.5k Reviews),Public,"Dearborn,Michigan + 104 more",120 years old,5k-10k Employees (India)
142,Bajaj Auto,4.0,(2.5k Reviews),Public,"Pune,Maharashtra + 211 more",78 years old,201-500 Employees (India)
143,Nagarjuna Constr...,4.1,(2.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 186 more",25 years old,1k-5k Employees (India)
144,Whitehat jr,3.7,(2.4k Reviews),Private,"Mumbai,Maharashtra + 46 more",5 years old,5k-10k Employees (India)
145,GlobalLogic,3.9,(2.4k Reviews),Private,"San Jose,California + 24 more",23 years old,1k-5k Employees (India)
146,Capgemini Techno...,4.1,(2.4k Reviews),Bengaluru/Bangalore + 26 more,,,
147,Tata Communicati...,4.2,(2.4k Reviews),Public,"Mumbai,Maharashtra + 81 more",37 years old,5k-10k Employees (India)
148,Cholamandalam In...,4.2,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 514 more",45 years old,5k-10k Employees (India)
149,Aditya Birla Fas...,4.3,(2.4k Reviews),Private,Mumbai + 195 more,8 years old,10k-50k Employees (India)
